#Position #Original #normiert
9 0.00111 0.99927
9.0625 0.00107 0.99931
9.125 0.00106 0.99933
9.1875 9.61743e-4 0.99943
9.25 9.50106e-4 0.99944
9.3125 8.60479e-4 0.99953
9.375 7.75436e-4 0.99961
9.4375 6.36741e-4 0.99975
9.5 6.36378e-4 0.99975
9.5625 5.61849e-4 0.99983
9.625 5.00271e-4 0.99989
9.6875 4.49962e-4 0.99994
9.75 4.22602e-4 0.99997
9.8125 3.88801e-4 1
9.875 4.23998e-4 0.99996
9.9375 4.14034e-4 0.99997
10 4.97282e-4 0.99989
10.0625 4.83653e-4 0.99991
10.125 4.87499e-4 0.9999
10.1875 5.71101e-4 0.99982
10.25 6.35869e-4 0.99975
10.3125 6.94841e-4 0.99969
10.375 7.49991e-4 0.99964
10.4375 7.79977e-4 0.99961
10.5 8.3557e-4 0.99955
10.5625 9.25645e-4 0.99946
10.625 9.9408e-4 0.99939
10.6875 0.00102 0.99937
10.75 0.00105 0.99933
10.8125 0.0011 0.99929
10.875 0.00111 0.99928
10.9375 0.00113 0.99926
11 0.00116 0.99923
